lat,lon,pi,zwd,n_stations
-80.000000,-105.000000,0.145142,9.101787,5.000000
-80.000000,-100.000000,0.145095,9.101787,5.000000
-80.000000,-95.000000,0.145091,9.101787,5.000000
-80.000000,-90.000000,0.145086,9.101787,5.000000
-80.000000,-85.000000,0.145078,9.101787,5.000000
-80.000000,-80.000000,0.145067,9.101787,5.000000
-80.000000,-75.000000,0.144308,9.101787,5.000000
-80.000000,-70.000000,0.144291,9.101787,5.000000
-80.000000,-65.000000,0.144272,9.101787,5.000000
-80.000000,-60.000000,0.144251,9.101787,5.000000
-80.000000,-55.000000,0.144228,9.101787,5.000000
-80.000000,-50.000000,0.144203,9.101787,5.000000
-80.000000,-45.000000,0.144177,9.101787,5.000000
-80.000000,-40.000000,0.144150,9.101787,5.000000
-80.000000,-35.000000,0.144121,9.101787,5.000000
-80.000000,-30.000000,0.144091,9.101787,5.000000
-80.000000,-25.000000,0.144060,9.101787,5.000000
-80.000000,-20.000000,0.145046,11.396644,5.000000
-80.000000,-15.000000,0.145015,11.396644,5.000000
-80.000000,-10.000000,0.144296,11.396644,5.000000
-80.000000,-5.000000,0.144260,11.396644,5.000000
-80.000000,0.000000,0.145757,12.249075,5.000000
-80.000000,5.000000,0.145724,12.249075,5.000000
-80.000000,10.000000,0.145802,12.249075,5.000000
-80.000000,15.000000,0.145768,12.249075,5.000000
-80.000000,20.000000,0.145733,12.249075,5.000000
-80.000000,25.000000,0.145698,12.249075,5.000000
-80.000000,30.000000,0.145663,12.249075,5.000000
-80.000000,35.000000,0.145627,12.249075,5.000000
-80.000000,40.000000,0.145642,12.249075,5.000000
-80.000000,45.000000,0.145332,12.249075,5.000000
-80.000000,50.000000,0.144813,9.845150,5.000000
-80.000000,55.000000,0.144778,9.845150,5.000000
-80.000000,60.000000,0.145655,11.028656,5.000000
-80.000000,65.000000,0.145626,11.028656,5.000000
-80.000000,70.000000,0.145707,11.028656,5.000000
-80.000000,75.000000,0.145728,11.028656,5.000000
-80.000000,80.000000,0.145710,11.028656,5.000000
-80.000000,85.000000,0.145471,11.028656,5.000000
-80.000000,90.000000,0.144154,10.322288,5.000000
-80.000000,95.000000,0.145103,10.322288,5.000000
-80.000000,100.000000,0.145171,10.322288,5.000000
-80.000000,105.000000,0.145944,9.973626,5.000000
-80.000000,110.000000,0.145536,9.973626,5.000000
-80.000000,115.000000,0.145590,10.605866,5.000000
-80.000000,120.000000,0.145622,10.355412,5.000000
-80.000000,125.000000,0.146020,10.355412,5.000000
-80.000000,130.000000,0.146052,10.355412,5.000000
-80.000000,135.000000,0.146089,10.355412,5.000000
-80.000000,140.000000,0.146128,10.355412,5.000000
-80.000000,145.000000,0.146170,10.355412,5.000000
-80.000000,150.000000,0.146214,10.355412,5.000000
-80.000000,155.000000,0.146259,10.355412,5.000000
-80.000000,160.000000,0.146304,10.355412,5.000000
-80.000000,165.000000,0.146349,10.355412,5.000000
-80.000000,170.000000,0.146373,10.355412,5.000000
-80.000000,175.000000,0.146416,10.355412,5.000000
-75.000000,-180.000000,0.150229,14.560193,5.000000
-75.000000,-175.000000,0.150229,14.560193,5.000000
-75.000000,-170.000000,0.150236,14.560193,5.000000
-75.000000,-165.000000,0.150243,14.560193,5.000000
-75.000000,-160.000000,0.150251,14.560193,5.000000
-75.000000,-155.000000,0.145036,9.520569,5.000000
-75.000000,-150.000000,0.145064,9.520569,5.000000
-75.000000,-145.000000,0.145088,9.520569,5.000000
-75.000000,-140.000000,0.145580,9.520569,5.000000
-75.000000,-135.000000,0.145595,9.520569,5.000000
-75.000000,-130.000000,0.145518,9.520569,5.000000
-75.000000,-125.000000,0.145529,9.520569,5.000000
-75.000000,-120.000000,0.145350,9.101787,5.000000
-75.000000,-115.000000,0.145357,9.101787,5.000000
-75.000000,-110.000000,0.145094,9.101787,5.000000
-75.000000,-105.000000,0.150484,17.054387,5.000000
-75.000000,-100.000000,0.150496,17.054387,5.000000
-75.000000,-95.000000,0.150508,17.054387,5.000000
-75.000000,-90.000000,0.150520,17.054387,5.000000
-75.000000,-85.000000,0.150392,17.054387,5.000000
-75.000000,-80.000000,0.147953,17.054387,5.000000
-75.000000,-75.000000,0.147949,17.054387,5.000000
-75.000000,-70.000000,0.151982,21.841071,5.000000
-75.000000,-65.000000,0.152002,21.841071,5.000000
-75.000000,-60.000000,0.152022,21.841071,5.000000
-75.000000,-55.000000,0.152036,21.841071,5.000000
-75.000000,-50.000000,0.151899,21.841071,5.000000
-75.000000,-45.000000,0.151918,21.841071,5.000000
-75.000000,-40.000000,0.151937,21.841071,5.000000
-75.000000,-35.000000,0.151956,21.841071,5.000000
